irszám.	MAI CÍM	maicim_1	maicim_2	maicim_rest	Google koordináta	TÁRGY	t_n_t_s2	targy_func1_orig	targy_nev	targy_height	targy_qnt	forrás	forras_link_nr	forras_link_host	forras_link	további inf.	tov-inf_link_numbered	tov-inf_link_scheme-host	tov-inf_link_nr	orig_ln
1062	 Andrássy út 82.	Andrássy út 82.			47.508802,19.068263							BZ-tól	0			rendeletben: Andrássy út 82. 28613 Preisz György /Pokupcic 1880-as évek vége ; http://www.budapestem.hu/budapest/epulet_tortenet/andrassy_ut_82 ; http://epulettar.hu/projekt/palota-orszagos-egeszsegfejlesztesi-intezetet-budapest-vi-andrassy-ut-82 ; http://www.bif.hu/?id=53	(1) http://www.budapestem.hu/budapest/epulet_tortenet/andrassy_ut_82 (2) http://epulettar.hu/projekt/palota-orszagos-egeszsegfejlesztesi-intezetet-budapest-vi-andrassy-ut-82 (3) http://www.bif.hu/?id=53	http://www.budapestem.hu|http://epulettar.hu|http://www.bif.hu	3	2
1117	 Budafoki út 72 (Vízapart utca, déli oldal)	Budafoki út 72.			47.454481,19.052700	gyári épület		<gyár>;				MZs	0			csekkolva, nincs kutatva! http://index.hu/belfold/2014/04/16/490_millioert_vett_sonak_telket_az_fkf/	(1) http://index.hu/belfold/2014/04/16/490_millioert_vett_sonak_telket_az_fkf/	http://index.hu	1	3
1146	 Kós Károly sétány 11. (Vajdahunyad vár, Jáki kápolna)	Kós Károly sétány 11.		** (Vajdahunyad vár, Jáki kápolna)	47.515643, 19.082728	Jáki kápolna, Vajdahunyad vár		<kápolna>,<vár>	'Jáki kápolna, Vajdahunyad vár'			helyszín	0						0	4
	???			**???	47.523732,19.019345	gyermekkórház	gyermek	<kór>;					0			http://saman.fszek.hu/WebPac/CorvinaWeb?action=onelong&showtype=longlong&recnum=776206&pos=1	(1) http://saman.fszek.hu/WebPac/CorvinaWeb?action=onelong&showtype=longlong&recnum=776206&pos=1	http://saman.fszek.hu	1	5
1105	8426 nincs a Mádin, címtár alapján Gratzéké a Mádi 7, ami a 8421 hrsz-on van, de az már nincs meg			**8426 nincs a Mádin, címtár alapján Gratzéké a Mádi 7, ami a 8421 hrsz-on van, de az már nincs meg	47.489485,19.139583	kétemeletes ház				2-S<emelet>		MZs	0						0	6
	a budafokin nincs ilyen hrsz.			**a budafokin nincs ilyen hrsz.		egyemeletes ház				1-S<emelet>		MZs	0						0	7
	Ábel Jenő páros páratlan old a Villányi útig 	Ábel Jenő utca		**páros páratlan old a Villányi útig 		nyaraló		<nyaraló>;					0						0	8
1146	Abonyi utca 19.	Abonyi utca 19.			47.507612,19.090423	2 emeletes bérvilla	bér	<villa>		2-S<emelet>		MZs	0			Nagyon kevés adat, 1902-ben csak egy egyszintes nyaraló tervei készültek el. 1914-ben jelentős átalakítások: 2 emeletes bérvillává bővítik (mai forma)			0	9
1146	Abonyi utca 25.	Abonyi utca 25.			 47.5082077,19.0910623	lakóház		<lakó>, ;				Gerle-Kovács-Makovecz: A századforduló magyar építészete	0						0	10
1146	Abonyi utca 29. -- Izsó utca 2-6	Abonyi utca 29.	 Izsó utca 2-6.		47.508541,19.091711	lakóház		<lakó>, ;				218	0						0	11
1122	Acsády Ignác utca 3	Acsády Ignác utca 3.			47.507034,19.012688	3 emeletes épület, Országos Gyermekvédő Liga, Leányinternátusa, majd Erzsébet Hadiárvaotthonkétemeletes ház	leány | hadiárva	<internátus>,<|>,<otthon>	'Országos Gyermekvédő Liga, Leányinternátusa' | 'Erzsébet Hadiárvaotthon'	3-S<emelet>|2-S<emelet>		MZs	0			az első tervek 1918-ból származnak (módosított tervek, 1914-ből származó tervek nem maradtak fenn.) Nincs homlokzati terv. Viszont alaprajz, térelosztás alapján hasonlít a mai épülethez.			0	12
1096	Ady Endre út 73-75	Ady Endre út 73-75.			47.450873,19.144902	Ady Endre Általános Iskola		<iskola>	'Ady Endre Általános Iskola'				0			http://hutcawikipedia.org/wiki/Nov%C3%A1k_Ede	(1) http://hutcawikipedia.org/wiki/Nov%C3%A1k_Ede	http://hutcawikipedia.org	1	13
1022	Ady Endre utca 15-17.	Ady Endre utca 15-17.			47.515529,19.028033	Hámos-Lányi ikervilla	iker	<villa>	'Hámos-Lányi ikervilla'			Gerle-Kovács-Makovecz: A századforduló magyar építészete	0			(belső berend. Elpusztult szinte teljesen, ép. kissé átalakítva), BMF tanulmény Bor Ferenctől!; a honlapon a 2012-es listán is szerepel az épület, ahol nincs kitöltve róla semmi; Nyitva: SZ 10:00-16:00  V 10:00-16:00			0	14
1192	Ady Endre út 29.	Ady Endre út 29.			47.456346, 19.137276	állami munkástelep, rendőrkapitányság	munkás	<telep>,<rendőrkapitányság>					0						0	15
1204	Ady Endre utca 81.	Ady Endre utca 81.			47.436631, 19.107340	református templom		<templom>					0			http://pkre.hu/rolunk	(1) http://pkre.hu/rolunk	http://pkre.hu	1	16
1024	Ady Endre utca 9.	Ady Endre utca 9.			47.514748,19.028518	egyemeletes ház				1-S<emelet>		MZs	0						0	17
1146	Ajtósi Dürer sor 27/a,b	Ajtósi Dürer sor 27/a,b			47.5116372,19.0922187	lakóház,  Svéd királyi nagykövetség 		<lakó>, ;<nagykövetség>	'Svéd királyi nagykövetség'			132	0						0	18
	Akácfa utca 13.	Akácfa utca 13.				bérház; társasház	bér társas						0						0	19
	Akácfa utca 18.	Akácfa utca 18.				bérház; társasház	bér társas						0						0	20
