"orig_nr","table","date","FamilyName","GivenName","Name","item","itemLabel","birthdate","deathdate","nationalityLabel","itemDescription"
26,"budapest","1911-1925","Amster","József","Amster József","http://www.wikidata.org/entity/Q105345908","Amster József","1886-08-07T00:00:00Z","1934-01-01T00:00:00Z","Hungary","magyar fényképész, iparművész"
27,"budapest","1911-1912","Amster","József","Amster József","http://www.wikidata.org/entity/Q105345908","Amster József","1886-08-07T00:00:00Z","1934-01-01T00:00:00Z","Hungary","magyar fényképész, iparművész"
30,"budapest","1928-1951","Funk","Pál","Funk Pál","http://www.wikidata.org/entity/Q769412","Funk Pál","1894-01-31T00:00:00Z","1974-12-13T00:00:00Z","Hungary","Hungarian photographer (1894-1974)"
31,"budapest","1919-1927","Funk","Pál","Funk Pál","http://www.wikidata.org/entity/Q769412","Funk Pál","1894-01-31T00:00:00Z","1974-12-13T00:00:00Z","Hungary","Hungarian photographer (1894-1974)"
84,"hungary","1860-1898","Auerbach","Miksa","Auerbach Miksa","http://www.wikidata.org/entity/Q46509072","Miksa Auerbach","1840-01-01T00:00:00Z","1900-01-01T00:00:00Z","Hungary","photographer"
112,"hungary","1904","Balkányi","Antal","Balkányi Antal","http://www.wikidata.org/entity/Q107695252","Antal Balkányi","1875-02-11T00:00:00Z","1958-01-01T00:00:00Z","Hungary","photographer, poet, writer"
61,"budapest","1900-1940","Balogh","Rudolf","Balogh Rudolf","http://www.wikidata.org/entity/Q789672","Rudolf Balogh","1879-09-01T00:00:00Z","1944-10-09T00:00:00Z","Hungary","photographer (1879-1944)"
71,"budapest",NA,"Bass","Tibor","Bass Tibor","http://www.wikidata.org/entity/Q24287811","Tibor Bass","1909-11-08T00:00:00Z","1973-12-30T00:00:00Z","Hungary","Hungarian photographer (1909-1973)"
74,"budapest","1910-1918","Bäumler","Ede","Bäumler Ede","http://www.wikidata.org/entity/Q107549241","Ede Bäumler","1876-03-16T00:00:00Z","1932-02-19T00:00:00Z","Hungary","bicycle champion, photographer (1876-1932)"
75,"budapest","1915 k.","Bäumler","Ede","Bäumler Ede","http://www.wikidata.org/entity/Q107549241","Ede Bäumler","1876-03-16T00:00:00Z","1932-02-19T00:00:00Z","Hungary","bicycle champion, photographer (1876-1932)"
76,"budapest","1943","Bäumler","Ede","Bäumler Ede","http://www.wikidata.org/entity/Q107549241","Ede Bäumler","1876-03-16T00:00:00Z","1932-02-19T00:00:00Z","Hungary","bicycle champion, photographer (1876-1932)"
93,"budapest","1896-1908","Békei","Ödön","Békei Ödön","http://www.wikidata.org/entity/Q107610110","Ödön Békei","1876-03-17T00:00:00Z","1956-05-10T00:00:00Z","Hungary","photographer (1876-1956)"
94,"budapest",NA,"Békei","Ödön","Békei Ödön","http://www.wikidata.org/entity/Q107610110","Ödön Békei","1876-03-17T00:00:00Z","1956-05-10T00:00:00Z","Hungary","photographer (1876-1956)"
179,"hungary","1895-1901","Berghammer","János","Berghammer János","http://www.wikidata.org/entity/Q107417761","János Berghammer","1850-01-01T00:00:00Z","","Hungary","photographer"
180,"hungary",NA,"Berghammer","János","Berghammer János","http://www.wikidata.org/entity/Q107417761","János Berghammer","1850-01-01T00:00:00Z","","Hungary","photographer"
118,"budapest","1930","Besnyő","Éva","Besnyő Éva","http://www.wikidata.org/entity/Q214198","Eva Besnyö","1910-04-29T00:00:00Z","2003-12-12T00:00:00Z","Hungary","Hungarian photographer"
192,"hungary","1868-1885","Beszédes","Sándor","Beszédes Sándor","http://www.wikidata.org/entity/Q794141","Sándor Beszédes","1830-01-01T00:00:00Z","1889-08-19T00:00:00Z","Hungary","Hungarian photographer"
177,"budapest","1910-1942","Brunhuber","Béla","Brunhuber Béla","http://www.wikidata.org/entity/Q42770149","Béla Brunhuber","1874-05-19T00:00:00Z","1953-02-12T00:00:00Z","Hungary","(1874–1953) Hungarian photographer"
281,"hungary",NA,"Buzi","László","Buzi László","http://www.wikidata.org/entity/Q124598662","Bérci László","1909-03-07T00:00:00Z","1997-07-27T00:00:00Z","Hungary","(1909–1997) magyar fotográfus"
248,"budapest","1930 k.","Dorn","Piroska","Dorn Piroska","http://www.wikidata.org/entity/Q95695502","Piroska Dorn","http://www.wikidata.org/.well-known/genid/deda2ae12d3cd8294f360b11adb36f9e","","Hungary","(?) fényképészmeester"
450,"hungary","1899-1910","Ellinger","Ede","Ellinger Ede","http://www.wikidata.org/entity/Q30611436","Ede Ellinger","1846-01-01T00:00:00Z","1915-01-01T00:00:00Z","Hungary","Hungarian photographer"
270,"budapest","1870-1885","Ellinger","Ede","Ellinger Ede","http://www.wikidata.org/entity/Q30611436","Ede Ellinger","1846-01-01T00:00:00Z","1915-01-01T00:00:00Z","Hungary","Hungarian photographer"
271,"budapest","1880-1905","Ellinger","Ede","Ellinger Ede","http://www.wikidata.org/entity/Q30611436","Ede Ellinger","1846-01-01T00:00:00Z","1915-01-01T00:00:00Z","Hungary","Hungarian photographer"
276,"budapest","1877-1898","Ellinger","Illés","Ellinger Illés","http://www.wikidata.org/entity/Q107560750","Illés Ellinger","1852-01-01T00:00:00Z","1888-08-14T00:00:00Z","Hungary","photographer"
286,"budapest","1900-1929","Erdélyi","Mór","Erdélyi Mór","http://www.wikidata.org/entity/Q990309","Mór Erdélyi","1866-12-03T00:00:00Z","1934-03-11T00:00:00Z","Hungary","Hungarian photographer"
287,"budapest","1891-1935","Erdélyi","Mór","Erdélyi Mór","http://www.wikidata.org/entity/Q990309","Mór Erdélyi","1866-12-03T00:00:00Z","1934-03-11T00:00:00Z","Hungary","Hungarian photographer"
297,"budapest","1928-1960","Escher","Károly","Escher Károly","http://www.wikidata.org/entity/Q938424","Károly Escher","1890-10-21T00:00:00Z","1966-02-16T00:00:00Z","Hungary","Hungarian cinematographer and photographer"
417,"budapest","1920-1966","Gyulai","Ferenc","Gyulai Ferenc dr.","http://www.wikidata.org/entity/Q20480293","Ferenc Gyulai","1905-04-02T00:00:00Z","1964-08-31T00:00:00Z","Hungary","Hungarian photographer"
418,"budapest","1941","Gyulai","Ferenc","Gyulai Ferenc dr.","http://www.wikidata.org/entity/Q20480293","Ferenc Gyulai","1905-04-02T00:00:00Z","1964-08-31T00:00:00Z","Hungary","Hungarian photographer"
689,"hungary","1900-1917","Gyulai","Ferenc","Gyulai Ferenc id.","http://www.wikidata.org/entity/Q20480293","Ferenc Gyulai","1905-04-02T00:00:00Z","1964-08-31T00:00:00Z","Hungary","Hungarian photographer"
690,"hungary","1910-1920","Gyulai","Ferenc","Gyulai Ferenc id.","http://www.wikidata.org/entity/Q20480293","Ferenc Gyulai","1905-04-02T00:00:00Z","1964-08-31T00:00:00Z","Hungary","Hungarian photographer"
691,"hungary","1900-1917","Gyulai","Ferenc","Gyulai Ferenc id.","http://www.wikidata.org/entity/Q20480293","Ferenc Gyulai","1905-04-02T00:00:00Z","1964-08-31T00:00:00Z","Hungary","Hungarian photographer"
692,"hungary","1900-1910","Gyulai","Ferenc","Gyulai Ferenc id.","http://www.wikidata.org/entity/Q20480293","Ferenc Gyulai","1905-04-02T00:00:00Z","1964-08-31T00:00:00Z","Hungary","Hungarian photographer"
416,"budapest","1920-1925","Gyulai","Ferenc","Gyulai Ferenc id.","http://www.wikidata.org/entity/Q20480293","Ferenc Gyulai","1905-04-02T00:00:00Z","1964-08-31T00:00:00Z","Hungary","Hungarian photographer"
428,"budapest","1865-1900","Halász","Anna","Halász Anna","http://www.wikidata.org/entity/Q33133508","Anna Halász","1836-01-01T00:00:00Z","1890-01-01T00:00:00Z","Hungary","Hungarian photographer"
429,"budapest","1870 k.","Halász","Anna","Halász Anna","http://www.wikidata.org/entity/Q33133508","Anna Halász","1836-01-01T00:00:00Z","1890-01-01T00:00:00Z","Hungary","Hungarian photographer"
432,"budapest","1928-1940","Halász","Vilma","Halász Vilma","http://www.wikidata.org/entity/Q68190631","Vilma Halász","1888-03-10T00:00:00Z","1938-02-02T00:00:00Z","Hungary","female photographer of Hungary (1888-1938)"
430,"budapest","1880-1890","Halász","Anna","Halász Anna","http://www.wikidata.org/entity/Q33133508","Anna Halász","1836-01-01T00:00:00Z","1890-01-01T00:00:00Z","Hungary","Hungarian photographer"
463,"budapest","1850 körül","Heller","József","Heller József","http://www.wikidata.org/entity/Q58321542","József Heller","","","Hungary","Hungarian photographer"
464,"budapest","1845-1860","Heller","József","Heller József","http://www.wikidata.org/entity/Q58321542","József Heller","","","Hungary","Hungarian photographer"
465,"budapest","1847-1882","Heller","József","Heller József","http://www.wikidata.org/entity/Q58321542","József Heller","","","Hungary","Hungarian photographer"
466,"budapest","1865-1870","Heller","József","Heller József","http://www.wikidata.org/entity/Q58321542","József Heller","","","Hungary","Hungarian photographer"
467,"budapest","1870-1875","Heller","József","Heller József","http://www.wikidata.org/entity/Q58321542","József Heller","","","Hungary","Hungarian photographer"
800,"hungary","1904-1915","Homonnai","Nándor","Homonnai Nándor","http://www.wikidata.org/entity/Q46346022","Nándor Homonnai","1880-01-16T00:00:00Z","1927-07-02T00:00:00Z","Hungary","Hungarian photographer (1880-1927)"
801,"hungary","1915-1936","Homonnai","Nándor","Homonnai Nándor","http://www.wikidata.org/entity/Q46346022","Nándor Homonnai","1880-01-16T00:00:00Z","1927-07-02T00:00:00Z","Hungary","Hungarian photographer (1880-1927)"
811,"hungary","1896-1900","Horváth","Bálint","Horváth Bálint","http://www.wikidata.org/entity/Q108047973","Bálint Horváth","1865-01-01T00:00:00Z","1947-01-01T00:00:00Z","Hungary","Hungarian photographer"
812,"hungary","1896","Horváth","Bálint","Horváth Bálint","http://www.wikidata.org/entity/Q108047973","Bálint Horváth","1865-01-01T00:00:00Z","1947-01-01T00:00:00Z","Hungary","Hungarian photographer"
813,"hungary","1896","Horváth","Bálint","Horváth Bálint","http://www.wikidata.org/entity/Q108047973","Bálint Horváth","1865-01-01T00:00:00Z","1947-01-01T00:00:00Z","Hungary","Hungarian photographer"
508,"budapest","1933-1941","Inkey","Tibor","Inkey Tibor","http://www.wikidata.org/entity/Q94685639","Tibor Inkey","1908-04-03T00:00:00Z","1998-06-04T00:00:00Z","Hungary","Hungarian photographer"
509,"budapest","1939-1945","Inkey","Tibor","Inkey Tibor","http://www.wikidata.org/entity/Q94685639","Tibor Inkey","1908-04-03T00:00:00Z","1998-06-04T00:00:00Z","Hungary","Hungarian photographer"
857,"hungary","1927-1930","Inkey","Tibor","Inkey Tibor","http://www.wikidata.org/entity/Q94685639","Tibor Inkey","1908-04-03T00:00:00Z","1998-06-04T00:00:00Z","Hungary","Hungarian photographer"
858,"hungary","1930-1933","Inkey","Tibor","Inkey Tibor","http://www.wikidata.org/entity/Q94685639","Tibor Inkey","1908-04-03T00:00:00Z","1998-06-04T00:00:00Z","Hungary","Hungarian photographer"
516,"budapest","1936-1966","Járai","Rudolf","Járai Rudolf","http://www.wikidata.org/entity/Q110041260","Rudolf Járai","1913-10-12T00:00:00Z","1993-07-04T00:00:00Z","Hungary","Hungarian photographer (1913-1993)"
534,"budapest","1930-1953","Kálmán","Kata","Kálmán Kata","http://www.wikidata.org/entity/Q1122976","Kata Kálmán","1909-04-25T00:00:00Z","1978-03-31T00:00:00Z","Hungary","Hungarian photographer"
549,"budapest","1930-1971","Kárász","Judit","Kárász Judit","http://www.wikidata.org/entity/Q23006284","Judit Kárász","1912-05-21T00:00:00Z","1977-05-30T00:00:00Z","Hungary","Hungarian photographer"
594,"budapest","1920-1943","Kis","Pál","Kis Pál","http://www.wikidata.org/entity/Q75173088","Pál Kis","1890-01-01T00:00:00Z","1945-01-24T00:00:00Z","Hungary","Hungarian photographer"
595,"budapest","1930 k.","Kis","Pál","Kis Pál","http://www.wikidata.org/entity/Q75173088","Pál Kis","1890-01-01T00:00:00Z","1945-01-24T00:00:00Z","Hungary","Hungarian photographer"
601,"budapest","1930-1947","Kiss","István","Kiss István","http://www.wikidata.org/entity/Q122229184","István Kiss Tanne","1953-01-01T00:00:00Z","","Hungary","Hungarian photographer (born: 1953)"
973,"hungary","1878-1910","Kiss","István","Kiss István","http://www.wikidata.org/entity/Q122229184","István Kiss Tanne","1953-01-01T00:00:00Z","","Hungary","Hungarian photographer (born: 1953)"
974,"hungary",NA,"Kiss","István","Kiss István","http://www.wikidata.org/entity/Q122229184","István Kiss Tanne","1953-01-01T00:00:00Z","","Hungary","Hungarian photographer (born: 1953)"
1027,"hungary","1861-1890","Koller","Károly","Koller Károly","http://www.wikidata.org/entity/Q1115301","Károly Koller","1838-01-28T00:00:00Z","1889-11-26T00:00:00Z","Hungary","photographer, painter (1838-1889)"
633,"budapest","1874-1890","Koller","Károly","Koller Károly","http://www.wikidata.org/entity/Q1115301","Károly Koller","1838-01-28T00:00:00Z","1889-11-26T00:00:00Z","Hungary","photographer, painter (1838-1889)"
1062,"hungary","1938","Kovács","László","Kovács László","http://www.wikidata.org/entity/Q498696","László Kovács","1933-05-14T00:00:00Z","2007-07-22T00:00:00Z","Hungary","Hungarian-American cinematographer"
1067,"hungary","1907-1914","Kováts","István","Kováts István","http://www.wikidata.org/entity/Q12349489","István Kováts","1881-04-10T00:00:00Z","1942-08-18T00:00:00Z","Hungary","(1881-1942) erdélyi magyar fotóművész"
1068,"hungary","1905 k.","Kováts","István","Kováts István","http://www.wikidata.org/entity/Q12349489","István Kováts","1881-04-10T00:00:00Z","1942-08-18T00:00:00Z","Hungary","(1881-1942) erdélyi magyar fotóművész"
1148,"hungary","1862-1865","Landau","Alajos","Landau Alajos","http://www.wikidata.org/entity/Q1127819","Alajos Landau","1833-01-20T00:00:00Z","1884-04-10T00:00:00Z","Hungary","(1833-1884) magyar főreáliskolai rajztanár, oktatáspolitikus, fotográfus"
1149,"hungary","1862-1870","Landau","Alajos","Landau Alajos","http://www.wikidata.org/entity/Q1127819","Alajos Landau","1833-01-20T00:00:00Z","1884-04-10T00:00:00Z","Hungary","(1833-1884) magyar főreáliskolai rajztanár, oktatáspolitikus, fotográfus"
