item,itemLabel,givenNameLabel,lastnameLabel,birthdate,deathdate,nationalityLabel,itemDescription
http://www.wikidata.org/entity/Q26159464,Adrienne Horváth,Horváth,Adrienne,http://www.wikidata.org/.well-known/genid/5f0002c9f29a2e2d75a225c461e63b0b,,Hungary,"ballet dancer, pilates instructor, photographer"
http://www.wikidata.org/entity/Q1302065,Aladár Székely,Székely,Aladár,1870-03-05T00:00:00Z,1940-09-27T00:00:00Z,Hungary,Hungarian photographer (1870-1940)
http://www.wikidata.org/entity/Q1127819,Alajos Landau,Landau,Alajos,1833-01-20T00:00:00Z,1884-04-10T00:00:00Z,Hungary,"(1833-1884) magyar főreáliskolai rajztanár, oktatáspolitikus, fotográfus"
http://www.wikidata.org/entity/Q56924637,Alajos Martsa,,Alajos,1910-01-01T00:00:00Z,1979-04-15T00:00:00Z,Hungary,Hungarian photographer
http://www.wikidata.org/entity/Q116547856,Alexander Balázs,Balázs,Alexander,1890-10-24T00:00:00Z,1932-04-28T00:00:00Z,Hungary,Hungarian photographer
http://www.wikidata.org/entity/Q55682958,Alexander Paal,Paál,Alexander,1910-05-18T00:00:00Z,1972-11-08T00:00:00Z,Hungary,"Hungarian film writer, director and producer (1910-1972)"
http://www.wikidata.org/entity/Q22936903,Alice Inkey,Inkey,Alice,1940-04-07T00:00:00Z,,Hungary,Hungarian photographer
http://www.wikidata.org/entity/Q4749647,Américo Hoss,,Imre,1916-01-01T00:00:00Z,1990-10-20T00:00:00Z,Hungary,Hungarian-Argentine cinematographer
http://www.wikidata.org/entity/Q4749647,Américo Hoss,,Américo,1916-01-01T00:00:00Z,1990-10-20T00:00:00Z,Hungary,Hungarian-Argentine cinematographer
http://www.wikidata.org/entity/Q4749647,Américo Hoss,,Imre,1916-01-01T00:00:00Z,1990-10-20T00:00:00Z,Argentina,Hungarian-Argentine cinematographer
http://www.wikidata.org/entity/Q4749647,Américo Hoss,,Américo,1916-01-01T00:00:00Z,1990-10-20T00:00:00Z,Argentina,Hungarian-Argentine cinematographer
http://www.wikidata.org/entity/Q106778730,Andi Gáldi Vinkó,,Andi,1982-01-01T00:00:00Z,,Hungary,Hungarian photographer
http://www.wikidata.org/entity/Q106778870,Andi Schmied,Schmied,Andi,1986-01-01T00:00:00Z,,Hungary,Hungarian artist
http://www.wikidata.org/entity/Q56757187,Andor Kraszna-Krausz,,Andor,1904-01-12T00:00:00Z,1989-12-24T00:00:00Z,Hungary,Hungarian and British publisher and writer of photographic literature
http://www.wikidata.org/entity/Q28976233,Andrea Németh,,Andrea,1946-11-05T00:00:00Z,,Hungary,(1946–)
http://www.wikidata.org/entity/Q23908382,András Alapfy,,András,1954-11-09T00:00:00Z,,Hungary,"magyar illusztrátor, fotóművész"
http://www.wikidata.org/entity/Q57264920,András Arató,Arató,András,1953-05-30T00:00:00Z,,Hungary,"(1953-) fotóművész, rádiótulajdonos"
http://www.wikidata.org/entity/Q110210488,András Balla,Balla,András,1945-11-18T00:00:00Z,,Hungary,(1945) fotóművész
http://www.wikidata.org/entity/Q853112,András Bánkuti,Bánkuti,András,1958-05-17T00:00:00Z,,Hungary,Hungarian photographer
http://www.wikidata.org/entity/Q853112,András Bánkuti,Bánkuti,András,1958-05-17T00:00:00Z,,Hungary,Hungarian photographer
http://www.wikidata.org/entity/Q110855045,András Csapó,Csapó,András,1991-08-17T00:00:00Z,,Hungary,"(1991-) film director, cinematographer"
http://www.wikidata.org/entity/Q124849728,András Erdei,Erdei,András,1946-05-11T00:00:00Z,1986-01-01T00:00:00Z,Hungary,Hungarian architect and photographer
http://www.wikidata.org/entity/Q97199992,András Gál,Gál,András,1970-02-25T00:00:00Z,,Hungary,(1970) magyar fotóművész
http://www.wikidata.org/entity/Q16521994,András Máthé,Máthé,András,1954-06-23T00:00:00Z,,Hungary,Hungarian photographer
http://www.wikidata.org/entity/Q43755889,András Szebeni,Szebeni,András,1946-04-30T00:00:00Z,2020-08-01T00:00:00Z,Hungary,(1946--2020) photographer
